iter	Passed	Remaining
193	20385	84693
194	20531	84759
195	20649	84704
196	20731	84504
197	20841	84419
198	20959	84365
199	21080	84321
200	21136	84021
201	21252	83958
202	21364	83879
203	21475	83795
204	21582	83699
205	21690	83602
206	21800	83515
207	21910	83430
208	22032	83384
209	22162	83372
210	22278	83306
211	22385	83205
212	22409	82798
213	22450	82459
214	22555	82354
215	22674	82299
216	22796	82254
217	22934	82270
218	23048	82197
219	23177	82174
220	23293	82108
221	23415	82060
222	23526	81974
223	23691	82073
224	23789	81942
225	23935	81975
226	24054	81911
227	24172	81845
228	24290	81780
229	24400	81689
230	24512	81601
231	24616	81489
232	24754	81488
233	24862	81387
234	24976	81306
235	25088	81218
236	25197	81122
237	25311	81039
238	25424	80955
239	25534	80860
240	25663	80824
241	25783	80758
242	25921	80751
243	26039	80679
244	26150	80586
245	26263	80497
246	26383	80433
247	26492	80333
248	26602	80235
249	26710	80130
250	26822	80040
251	26930	79937
252	27044	79849
253	27162	79776
254	27279	79697
255	27390	79603
256	27500	79506
257	27607	79397
258	27718	79303
259	27831	79212
260	27947	79131
261	28057	79030
262	28170	78942
263	28284	78853
264	28410	78799
265	28526	78716
266	28557	78399
267	28673	78318
268	28796	78254
269	28924	78203
270	29040	78120
271	29156	78037
272	29216	77804
273	29329	77713
274	29420	77563
275	29528	77459
276	29571	77185
277	29659	77030
278	29776	76948
279	29888	76857
280	29997	76755
281	30109	76662
282	30234	76601
283	30349	76514
284	30461	76421
285	30570	76318
286	30675	76208
287	30799	76144
288	30908	76041
289	31019	75943
290	31133	75853
291	31242	75751
292	31353	75654
293	31473	75580
294	31581	75475
295	31688	75367
296	31804	75280
297	31910	75171
298	32020	75071
299	32127	74965
300	32248	74889
301	32487	75087
302	32613	75021
303	32733	74943
304	32869	74898
305	32982	74803
306	33052	74611
307	33160	74504
308	33275	74412
309	33390	74319
310	33450	74107
311	33572	74031
312	33681	73926
313	33788	73819
314	33904	73728
315	34013	73624
316	34131	73538
317	34249	73453
318	34358	73348
319	34467	73243
320	34582	73150
321	34692	73048
322	34806	72953
323	34971	72965
324	35090	72880
325	35240	72858
326	35351	72758
327	35456	72643
328	35584	72574
329	35690	72463
330	35807	72372
331	35911	72255
332	36020	72148
333	36130	72045
334	36246	71952
335	36355	71845
336	36468	71746
337	36573	71631
338	36702	71565
339	36812	71459
340	36919	71349
341	37026	71238
342	37138	71136
343	37248	71032
344	37356	70923
345	37471	70828
346	37528	70623
347	37638	70517
348	37744	70406
349	37848	70290
350	37962	70192
351	38075	70092
352	38189	69996
353	38270	69837
354	38381	69736
355	38497	69641
356	38609	69539
357	38729	69453
358	38835	69341
359	38948	69242
360	39054	69129
361	39168	69032
362	39278	68926
363	39389	68824
364	39501	68721
365	39562	68532
366	39672	68426
367	39799	68351
368	39905	68238
369	40012	68129
370	40125	68029
371	40249	67947
372	40357	67839
373	40466	67732
374	40582	67636
375	40695	67536
376	40818	67452
377	40922	67338
378	41040	67246
379	41146	67133
380	41256	67029
381	41364	66918
382	41477	66818
383	41585	66709
384	41695	66604
385	41816	66516
386	41927	66411
387	42024	66285
388	42115	66150
389	42183	65980
390	42282	65856
391	42374	65723
392	42463	65586
393	42573	65480
394	42662	65344
395	42763	65224
396	42865	65107
397	42960	64979
398	43059	64859
399	43159	64738
400	43249	64604
401	43340	64470
402	43433	64341
403	43523	64207
404	43619	64082
405	43684	63912
406	43782	63790
407	43878	63666
408	43974	63543
409	44071	63420
410	44164	63291
411	44267	63177
412	44356	63044
413	44444	62909
414	44540	62786
415	44626	62649
416	44720	62523
417	44820	62404
418	44911	62275
419	44998	62140
420	45090	62013
421	45183	61885
422	45274	61757
423	45370	61634
424	45468	61516
425	45559	61388
426	45652	61262
427	45739	61128
428	45848	61024
429	45941	60899
430	46038	60778
431	46130	60653
432	46223	60528
433	46312	60398
434	46398	60264
435	46492	60141
436	46587	60019
437	46675	59889
438	46767	59764
439	46871	59654
440	46977	59547
441	47089	59447
442	47195	59340
443	47306	59239
444	47423	59146
445	47546	59060
446	47656	58957
447	47764	58852
448	47875	58751
449	47987	58651
450	48093	58544
451	48215	58455
452	48326	58354
453	48434	58249
454	48542	58144
455	48656	58046
456	48764	57941
457	48880	57845
458	48989	57740
459	49097	57636
460	49206	57532
461	49319	57432
462	49429	57329
463	49542	57230
464	49650	57124
465	49852	57127
466	49976	57039
467	50077	56926
468	50194	56829
469	50301	56723
470	50414	56623
471	50522	56516
472	50637	56418
473	50747	56314
474	50868	56222
475	50981	56122
476	51090	56016
477	51200	55913
478	51332	55833
479	51462	55750
480	51592	55668
481	51702	55564
482	51810	55457
483	51921	55354
484	52033	55252
485	52145	55150
486	52261	55051
487	52365	54940
488	52475	54836
489	52581	54727
490	52694	54625
491	52799	54516
492	52922	54425
493	53037	54325
494	53145	54218
495	53255	54114
496	53368	54013
497	53477	53906
498	53614	53829
499	53722	53722
500	53831	53616
501	53938	53508
502	54056	53411
503	54162	53303
504	54278	53203
505	54382	53092
506	54496	52991
507	54626	52906
508	54737	52801
509	54841	52691
510	54955	52589
511	55064	52483
512	55177	52381
513	55289	52277
514	55400	52173
515	55511	52068
516	55623	51965
517	55732	51859
518	55862	51772
519	55969	51664
520	56093	51571
521	56194	51458
522	56307	51354
523	56415	51247
524	56524	51140
525	56629	51030
526	56740	50926
527	56845	50816
528	56959	50714
529	57072	50611
530	57185	50508
531	57292	50400
532	57403	50295
533	57514	50190
534	57621	50082
535	57727	49972
536	57837	49867
537	57949	49763
538	58067	49664
539	58174	49555
540	58287	49452
541	58397	49346
542	58509	49242
543	58617	49134
544	58729	49031
545	58838	48924
546	58955	48823
547	59068	48721
548	59183	48618
549	59310	48526
550	59418	48419
551	59524	48310
552	59634	48203
553	59746	48099
554	59859	47995
555	59966	47886
556	60095	47795
557	60212	47695
558	60320	47587
559	60422	47475
560	60542	47376
561	60649	47267
562	60761	47162
563	60872	47057
564	60985	46953
565	61114	46861
566	61231	46760
567	61338	46651
568	61450	46546
569	61555	46436
570	61664	46329
571	61806	46246
572	61917	46141
573	62025	46033
574	62150	45937
575	62268	45836
576	62379	45730
577	62482	45618
578	62588	45509
579	62699	45403
580	62812	45298
581	62919	45189
582	63041	45091
583	63162	44992
584	63283	44893
585	63392	44785
586	63506	44681
587	63610	44570
588	63737	44475
589	63852	44371
590	63959	44262
591	64065	44153
592	64188	44055
593	64302	43951
594	64426	43853
595	64536	43746
596	64732	43697
597	64849	43594
598	64961	43488
599	65073	43382
600	65188	43278
601	65303	43174
602	65415	43068
603	65523	42959
604	65631	42850
605	65754	42751
606	65865	42644
607	65975	42536
608	66083	42427
609	66188	42317
610	66303	42212
611	66409	42103
612	66521	41996
613	66631	41888
614	66743	41782
615	66857	41677
616	66977	41575
617	67122	41489
618	67229	41380
619	67355	41282
620	67472	41179
621	67581	41070
622	67695	40964
623	67804	40856
624	67918	40751
625	68028	40642
626	68140	40536
627	68253	40430
628	68368	40325
629	68478	40217
630	68588	40109
631	68697	40001
632	68813	39896
633	68980	39821
634	69094	39715
635	69204	39607
636	69318	39501
637	69425	39391
638	69540	39286
639	69647	39176
640	69757	39068
641	69880	38967
642	70004	38867
643	70114	38758
644	70231	38654
645	70349	38550
646	70455	38440
647	70562	38330
648	70677	38224
649	70785	38115
650	70900	38009
651	71010	37901
652	71124	37795
653	71234	37686
654	71348	37580
655	71456	37471
656	71568	37363
657	71680	37256
658	71792	37149
659	71901	37039
660	72012	36932
661	72120	36822
662	72237	36718
663	72343	36607
664	72458	36501
665	72565	36391
666	72681	36286
667	72791	36177
668	72903	36070
669	73009	35960
670	73124	35853
671	73241	35748
672	73353	35641
673	73460	35531
674	73573	35424
675	73680	35314
676	73799	35210
677	73913	35103
678	74021	34993
679	74132	34885
680	74247	34779
681	74354	34669
682	74475	34566
683	74596	34462
684	74705	34353
685	74814	34244
686	74926	34136
687	75036	34028
688	75162	33926
689	75272	33818
690	75384	33710
691	75498	33603
692	75672	33523
693	75800	33422
694	75902	33309
695	76007	33198
696	76117	33089
697	76226	32980
698	76340	32873
699	76446	32762
700	76562	32656
701	76672	32547
702	76787	32440
703	76923	32343
704	77043	32238
705	77151	32128
706	77261	32019
707	77368	31909
708	77501	31809
709	77613	31701
710	77717	31589
711	77823	31479
712	77943	31374
713	78049	31263
714	78165	31156
715	78280	31049
716	78386	30939
717	78499	30831
718	78614	30724
719	78738	30620
720	78849	30511
721	78964	30404
722	79073	30294
723	79188	30187
724	79299	30078
725	79411	29970
726	79518	29860
727	79638	29754
728	79754	29648
729	79901	29552
730	80015	29444
731	80123	29334
732	80239	29227
733	80354	29120
734	80464	29010
735	80575	28902
736	80678	28790
737	80792	28682
738	80898	28571
739	81026	28468
740	81158	28367
741	81272	28259
742	81382	28149
743	81497	28042
744	81628	27939
745	81756	27836
746	81871	27729
747	81981	27619
748	82097	27512
749	82212	27404
750	82327	27296
751	82440	27187
752	82550	27078
753	82664	26970
754	82771	26859
755	82891	26753
756	82998	26642
757	83111	26534
758	83220	26424
759	83342	26318
760	83456	26210
761	83567	26101
762	83690	25995
763	83808	25888
764	83924	25780
765	84049	25675
766	84164	25567
767	84271	25457
768	84374	25345
769	84490	25237
770	84595	25126
771	84706	25016
772	84816	24907
773	84924	24797
774	85049	24691
775	85157	24581
776	85265	24471
777	85376	24361
778	85525	24263
779	85720	24177
780	85824	24066
781	85931	23955
782	86051	23848
783	86174	23741
784	86283	23631
785	86388	23520
786	86498	23410
787	86623	23304
788	86731	23194
789	86842	23084
790	86950	22974
791	87068	22866
792	87183	22757
793	87308	22651
794	87422	22542
795	87531	22432
796	87643	22323
797	87748	22212
798	87865	22103
799	87968	21992
800	88127	21894
801	88246	21786
802	88355	21676
803	88462	21565
804	88575	21456
805	88681	21345
806	88795	21236
807	88907	21126
808	89018	21016
809	89125	20906
810	89237	20796
811	89353	20687
812	89465	20578
813	89576	20468
814	89691	20359
815	89802	20249
816	89916	20140
817	90026	20030
818	90139	19920
819	90243	19809
820	90366	19702
821	90472	19591
822	90586	19482
823	90691	19371
824	90798	19260
825	90907	19150
826	91020	19040
827	91124	18929
828	91236	18819
829	91349	18710
830	91467	18601
831	91578	18491
832	91685	18381
833	91795	18271
834	91925	18164
835	92066	18060
836	92183	17952
837	92317	17846
838	92446	17740
839	92564	17631
840	92672	17520
841	92780	17410
842	92890	17299
843	92999	17189
844	93119	17081
845	93233	16971
846	93353	16863
847	93472	16754
848	93587	16645
849	93704	16536
850	93819	16426
851	93938	16317
852	94052	16208
853	94161	16097
854	94278	15988
855	94387	15878
856	94559	15778
857	94669	15667
858	94779	15557
859	94889	15447
860	95004	15337
861	95113	15226
862	95229	15117
863	95342	15007
864	95454	14897
865	95563	14786
866	95678	14677
867	95786	14566
868	95898	14456
869	96024	14348
870	96133	14237
871	96246	14127
872	96356	14017
873	96464	13906
874	96577	13796
875	96685	13686
876	96802	13576
877	96907	13465
878	97005	13353
879	97097	13240
880	97192	13128
881	97287	13015
882	97381	12903
883	97490	12792
884	97604	12683
885	97716	12572
886	97829	12463
887	97938	12352
888	98053	12242
889	98166	12132
890	98280	12023
891	98394	11913
892	98508	11803
893	98625	11693
894	98741	11584
895	98850	11473
896	98964	11363
897	99079	11254
898	99197	11144
899	99306	11034
900	99420	10924
901	99535	10814
902	99649	10704
903	99766	10594
904	99881	10484
905	99994	10374
906	100107	10264
907	100262	10158
908	100374	10048
909	100487	9938
910	100606	9828
911	100721	9718
912	100839	9609
913	100953	9498
914	101064	9388
915	101180	9278
916	101291	9168
917	101400	9057
918	101512	8947
919	101623	8836
920	101752	8727
921	101867	8617
922	101980	8507
923	102093	8397
924	102214	8287
925	102325	8177
926	102446	8067
927	102556	7956
928	102779	7855
929	102895	7744
930	103007	7634
931	103130	7524
932	103247	7414
933	103364	7304
934	103476	7193
935	103599	7083
936	103749	6975
937	103860	6864
938	103972	6754
939	104084	6643
940	104201	6533
941	104320	6423
942	104433	6312
943	104551	6202
944	104692	6093
945	104806	5982
946	104921	5872
947	105034	5761
948	105146	5650
949	105292	5541
950	105421	5431
951	105545	5321
952	105683	5212
953	105793	5101
954	105932	4991
955	106051	4881
956	106262	4774
957	106383	4663
958	106480	4552
959	106577	4440
960	106677	4329
961	106798	4218
962	106892	4106
963	107006	3996
964	107111	3884
965	107220	3773
966	107327	3662
967	107435	3551
968	107542	3440
969	107659	3329
970	107777	3218
971	107879	3107
972	107995	2996
973	108103	2885
974	108199	2774
975	108315	2663
976	108420	2552
977	108537	2441
978	108650	2330
979	108757	2219
980	108859	2108
981	108979	1997
982	109095	1886
983	109193	1775
984	109309	1664
985	109412	1553
986	109522	1442
987	109635	1331
988	109754	1220
989	109877	1109
990	109985	998
991	110084	887
992	110184	776
993	110280	665
994	110381	554
995	110645	444
996	110754	333
997	110854	222
998	110967	111
999	111072	0
