iter	Logloss
0	0.6809724693
1	0.6704135954
2	0.6596426416
3	0.6492023508
4	0.6394569908
5	0.6321037536
6	0.6227610635
7	0.6169103653
8	0.6108070168
9	0.6042968377
10	0.5972406456
11	0.5918087484
12	0.5862452155
13	0.5804669876
14	0.575097657
15	0.5692190279
16	0.5647442884
17	0.559499134
18	0.5554036257
19	0.5513948645
20	0.5471595567
21	0.5429405184
22	0.5389420554
23	0.5355319512
24	0.5319517718
25	0.5287705999
26	0.5255133739
27	0.5226023504
28	0.5196153239
29	0.5175488524
30	0.5153139643
31	0.5130044283
32	0.5102268013
33	0.5071870354
34	0.5043838218
35	0.5026446834
36	0.5002016432
37	0.4977599051
38	0.495747864
39	0.4939031754
40	0.4922073115
41	0.4903253616
42	0.4885946079
43	0.4869082256
44	0.4850352501
45	0.4839923261
46	0.4825248561
47	0.4806247068
48	0.4789983291
49	0.4785527026
50	0.4772390103
51	0.4761761366
52	0.4749011178
53	0.4734913154
54	0.4721283198
55	0.4710772285
56	0.4700831072
57	0.4686964609
58	0.4671703028
59	0.465813885
60	0.4646935633
61	0.4635031946
62	0.4620392701
63	0.4608343323
64	0.4598615188
65	0.4587495217
66	0.457886202
67	0.4571304615
68	0.4557014857
69	0.4548787675
70	0.4540322387
71	0.4533610671
72	0.4527447218
73	0.4519390833
74	0.4509855825
75	0.4499723668
76	0.4490913863
77	0.4480802229
78	0.4471602829
79	0.4465553589
80	0.4457691528
81	0.4449089339
82	0.4439796098
83	0.4434268078
84	0.4430572552
85	0.44238026
86	0.441905826
87	0.4413688386
88	0.4408766351
89	0.4402614928
90	0.4395897926
91	0.4390878477
92	0.4386003086
93	0.4378704047
94	0.4374515242
95	0.4369206138
96	0.4362982584
97	0.4358618536
98	0.4353079842
99	0.4349211242
100	0.4344364464
101	0.433877663
102	0.4335348069
103	0.4331934906
104	0.4327381871
105	0.4323222475
106	0.4317944732
107	0.4310674483
108	0.4306769447
109	0.4302994432
110	0.429893515
111	0.4294054833
112	0.4288618661
113	0.4284508119
114	0.4279876508
115	0.4275431071
116	0.4272546612
117	0.4268638496
118	0.4263527321
119	0.4260612517
120	0.4258124972
121	0.4256449489
122	0.4252273232
123	0.4248732043
124	0.424728475
125	0.4244808655
126	0.4242398764
127	0.4240055573
128	0.4237918814
129	0.4233929899
130	0.4230752649
131	0.4228214114
132	0.4224373895
133	0.4219356093
134	0.4216289149
135	0.4213066587
136	0.4209517444
137	0.4206472656
138	0.4202350083
139	0.4199379967
140	0.419262382
141	0.419002011
142	0.4187766894
143	0.4186074209
144	0.4181492773
145	0.4178342824
146	0.4176678623
147	0.4174580311
148	0.4171335809
149	0.4168132348
150	0.4164765777
151	0.4163017574
152	0.4160538319
153	0.4158982041
154	0.4156057529
155	0.4154544987
156	0.41541255
157	0.4152093964
158	0.4150961307
159	0.4148078847
160	0.4144891165
161	0.4142766606
162	0.4142032952
163	0.4139628786
164	0.4138334221
165	0.4135528718
166	0.4133764442
167	0.4132081155
168	0.413060157
169	0.4128258764
170	0.4125765925
171	0.4122105914
172	0.4121566253
173	0.4119903695
174	0.4118551782
175	0.4117551926
176	0.4115081747
177	0.4113918645
178	0.4112912593
179	0.4111660598
180	0.4109295437
181	0.4106116353
182	0.4104374354
183	0.4103461632
184	0.410095826
185	0.4100103853
186	0.4098366401
187	0.409815597
188	0.4097005036
189	0.4096290396
190	0.4093345014
191	0.4092327713
192	0.4090606355
193	0.4088843907
194	0.4087525239
195	0.4087091643
196	0.4086466662
197	0.4084946296
198	0.4084031604
199	0.4082643551
200	0.4081155652
201	0.407957416
202	0.407750181
203	0.4075054459
204	0.4073160769
205	0.4072080207
206	0.4072080163
207	0.4071900861
208	0.4070953316
209	0.4070119397
210	0.4068302272
211	0.4066459127
212	0.4063654965
213	0.4062171875
214	0.4059615201
215	0.4058635575
216	0.4057390038
217	0.4054248267
218	0.4053237892
219	0.4052495271
220	0.4048990233
221	0.4048534255
222	0.4047658672
223	0.4046720706
224	0.4045399511
225	0.4044627008
226	0.4044183729
227	0.4043224458
228	0.40421146
229	0.4040204131
230	0.403909617
231	0.4038806092
232	0.4037994421
233	0.4037010684
234	0.4036630317
