iter	Logloss
0	0.6730274857
1	0.6535728438
2	0.6341176954
3	0.6207456432
4	0.6084975218
5	0.5963581875
6	0.5890532806
7	0.5844478105
8	0.5784902004
9	0.5736677803
10	0.5689662127
11	0.5648948874
12	0.5604419941
13	0.5562253704
14	0.5515682414
15	0.5466154809
16	0.5436351586
17	0.5411597399
18	0.537845463
19	0.5348944011
20	0.5326302555
21	0.5307537273
22	0.5285164092
23	0.5266245484
24	0.5245966329
25	0.5240433526
26	0.5226544106
27	0.5210544128
28	0.5202476533
29	0.5190106596
30	0.5178617669
31	0.5166857962
32	0.5160026549
33	0.5154694231
34	0.515056608
35	0.5145425592
36	0.5134857306
37	0.512687669
38	0.5121618728
39	0.5114653153
40	0.5113035436
41	0.5106963954
42	0.5103131697
43	0.510267021
44	0.509797511
45	0.508780551
46	0.5081971266
47	0.5078506494
48	0.5070478205
49	0.5066911025
50	0.5061058498
51	0.5057525585
52	0.5057129673
53	0.5054575968
54	0.5050026066
55	0.5045637737
56	0.5041299812
57	0.5037051566
58	0.5031834646
59	0.5029825185
60	0.5026228477
61	0.5024118941
62	0.50188517
63	0.5018828498
64	0.5015006198
65	0.5009225348
66	0.5006303318
67	0.500129527
68	0.5000035122
69	0.4996926693
70	0.4993712946
71	0.4991004388
72	0.4989188346
73	0.4986981222
74	0.4984975439
75	0.4981394013
76	0.4979756108
77	0.4978088592
78	0.4977563847
79	0.4976574193
80	0.4976214399
81	0.4976214199
82	0.4975313595
83	0.4972411781
84	0.4971643881
85	0.4970830555
86	0.4967167347
87	0.4966633894
88	0.4966546696
89	0.4962957499
90	0.4960553822
91	0.4959397771
92	0.4956729764
93	0.494939791
94	0.4946572071
95	0.4944636937
96	0.4944519951
97	0.4939150539
98	0.4935753123
99	0.493148572
100	0.4930767476
101	0.4928507012
102	0.4927276941
103	0.4926707231
104	0.4925146511
105	0.4924140803
106	0.4924137754
107	0.4923212224
108	0.4921828641
109	0.4918694249
110	0.4915679688
111	0.4913951658
112	0.4913052457
113	0.4911234456
114	0.4909641211
115	0.4908697274
116	0.490776462
117	0.4907723305
118	0.4904883343
119	0.4904725391
120	0.4903354282
121	0.4901770706
122	0.4899039584
123	0.4896701183
124	0.4892812575
125	0.4891236096
126	0.4887805737
127	0.4886223719
128	0.4884466373
129	0.488337689
130	0.4879722854
131	0.4877087282
132	0.4875226009
133	0.4874220608
134	0.487346407
135	0.4872208689
136	0.4871114655
137	0.4868628628
138	0.4867366657
139	0.4864384916
140	0.48628103
141	0.4862377236
142	0.4861495708
143	0.48569717
144	0.4855208677
145	0.4853518943
146	0.485164231
147	0.4850409856
148	0.4848782177
149	0.4846206098
150	0.4844708904
151	0.4841485818
152	0.4840360109
153	0.483655723
154	0.4833884087
155	0.4832970415
156	0.4831558133
157	0.4831266379
158	0.4829788017
159	0.4827565818
160	0.4825269262
161	0.4822891505
162	0.4820626903
163	0.481875754
164	0.4814464841
165	0.4809802686
166	0.4809639678
167	0.4808893594
168	0.4807835999
169	0.4804760493
170	0.4803195454
171	0.4802398418
172	0.4801681116
173	0.4801184364
174	0.4800603231
175	0.4797703963
176	0.4795747755
177	0.4794238701
178	0.4790630061
179	0.4789104653
180	0.4786725525
181	0.4784780492
182	0.4781213171
183	0.4780753778
184	0.4779073978
185	0.4778280782
186	0.4778023823
187	0.4776089157
188	0.4773883025
189	0.4770551383
190	0.4769940512
191	0.4769658407
192	0.476804005
193	0.4767059343
194	0.4762382412
195	0.4760672068
196	0.476000429
197	0.4759613742
198	0.4757025314
199	0.4753922242
200	0.4753319548
201	0.4751751966
202	0.4749975664
203	0.4747747729
204	0.4743563011
205	0.4743019319
206	0.4740135784
207	0.4737432185
208	0.4736010477
209	0.4733597997
210	0.4732546566
211	0.4729008662
212	0.4726514505
213	0.4722849278
214	0.4718258193
215	0.4717994334
216	0.471692804
217	0.4715330799
218	0.4714855254
219	0.4711611303
220	0.4710241581
221	0.4708128298
222	0.4706143972
223	0.4704073232
224	0.470221903
225	0.4701641726
226	0.4700776962
227	0.4700215117
228	0.469956858
229	0.4697496081
230	0.4695901244
231	0.4693540243
232	0.4692913224
233	0.4691761171
234	0.4689280722
235	0.4688973903
236	0.468796441
237	0.4687505924
238	0.4686225884
239	0.4683582294
240	0.4682829124
241	0.4681295924
242	0.4677150797
243	0.4676323802
244	0.4675387011
245	0.4673229814
246	0.4670917515
247	0.4669803688
248	0.4668527962
249	0.4667760296
250	0.4667089469
251	0.4665976003
252	0.4663753945
253	0.4663144837
254	0.466279644
255	0.4660764846
256	0.4658640179
257	0.4657333239
258	0.4654706765
259	0.4652714572
260	0.4647623453
261	0.4647019099
262	0.4645697214
263	0.4645159326
264	0.4643228501
265	0.4641888964
266	0.4639947248
267	0.4636515951
268	0.4635426428
269	0.4632904501
270	0.463026547
271	0.4628238525
272	0.462715252
273	0.4624684786
274	0.4622809039
275	0.4622193073
276	0.4620157857
277	0.4619555712
278	0.4617601394
279	0.4616636005
280	0.4615456198
281	0.4613125842
282	0.4608871107
283	0.4605165163
284	0.4603571126
285	0.4600452439
286	0.4599096671
287	0.4598805957
288	0.4596680464
289	0.459658003
290	0.4594867372
291	0.4593943369
292	0.4591709671
293	0.4588555156
294	0.4587934018
295	0.4586781033
296	0.4586421733
297	0.4584345422
298	0.4583708565
299	0.4581264342
300	0.4578944123
301	0.4576790728
302	0.457469692
303	0.457440747
304	0.4573751629
305	0.4573338693
306	0.4572623268
307	0.4572498695
308	0.4571779377
309	0.4570435698
310	0.456792601
311	0.4566485778
312	0.4565545275
313	0.4564639159
314	0.4564530642
315	0.4560630391
316	0.4558729265
317	0.4556590073
318	0.4556094999
319	0.4552417413
320	0.4551083093
321	0.455033916
322	0.4549008876
323	0.4547970362
324	0.4547150247
325	0.4545640544
326	0.4545521675
327	0.4543664687
328	0.4540795311
329	0.453890663
330	0.4537480846
331	0.4536620203
332	0.453533302
333	0.4535080249
334	0.4532595537
335	0.4532383714
336	0.4531558127
337	0.4529261758
338	0.4527978866
339	0.4527008898
340	0.4525216518
341	0.4521776904
342	0.4520997115
343	0.4519522065
344	0.451721608
345	0.4515519555
346	0.4514178623
347	0.4511691291
348	0.4509338141
349	0.4507928266
350	0.4506817634
351	0.4505034477
352	0.4504925161
353	0.4501399848
354	0.4501238823
355	0.4499051614
356	0.4496509565
357	0.4495419774
358	0.4492849015
359	0.449209146
360	0.4490300111
361	0.4489153249
362	0.4488904966
363	0.4488334184
364	0.448512845
365	0.4485116598
366	0.4482371467
367	0.4482069329
368	0.4481829273
369	0.4481028184
370	0.4478632811
371	0.4476222874
372	0.4473578914
373	0.4472910206
374	0.4472631811
375	0.4470753082
